Line;FromNode;ToNode;UB (kV);Length (Km);Inom (A);R (ohm);X (ohm);wC (microS);Lat_from;Long_from;Lat_to;Long_to;r_ohm_per_km;x_ohm_per_km;wc_µs_per_km;Capacity_GW;MTTF;MTTR
1;ACHEN;GRAMM;380;36.9;1999;1.14;12.1;141.47;50.26782947;5.04563411;50.52685948;5.230963573;0.030894309;0.327913279;0.085530501;1.315700434;15000;120
2;AUBAN380;BRUME;380;104.4;2186;3.55;32.88;379.36;49.56383767;5.799275871;50.37604456;5.853543804;0.034003831;0.314942529;0.08667229;1.438779965;15000;120
3;AVLGM;HORTA;380;39.7;1999;1.23;13.02;146.89;50.77413141;3.44531579;51.10966736;3.596648917;0.030982368;0.327959698;0.088637756;1.315700434;15000;120
4;AVLGM;HORTA;380;39.7;2186;1.25;13;152.96;50.77413141;3.44531579;51.10966736;3.596648917;0.031486146;0.327455919;0.08498954;1.438779965;15000;120
5;AVLGM;IZGEM;380;22.8;2186;0.71;7.48;87.65;50.77413141;3.44531579;50.91835589;3.210609121;0.031140351;0.328070175;0.085339418;1.438779965;15000;120
6;AVLGM;IZGEM;380;22.8;2186;0.71;7.48;87.65;50.77413141;3.44531579;50.91835589;3.210609121;0.031140351;0.328070175;0.085339418;1.438779965;15000;120
7;BRUEG;MEKI+;380;14;1999;0.45;4.63;54.18;50.83851926;4.262445268;50.78664135;4.315182989;0.032142857;0.330714286;0.085455888;1.315700434;15000;120
8;BRUEG;COURC;380;47.3;2186;1.47;15.51;182.6;50.83851926;4.262445268;50.46313915;4.330503288;0.031078224;0.327906977;0.084939759;1.438779965;15000;120
9;BRUEG;BUGG+;380;15.9;1999;0.61;5.11;59.8;50.83851926;4.262445268;51.01466463;4.200122986;0.03836478;0.321383648;0.085451505;1.315700434;15000;120
10;BRUEG;BUGG+;380;15.9;2186;0.5;5.25;61.8;50.83851926;4.262445268;51.01466463;4.200122986;0.031446541;0.330188679;0.084951456;1.438779965;15000;120
11;BRUME;GRAMM;380;44.3;1999;1.37;14.53;164;50.37604456;5.853543804;50.52685948;5.230963573;0.030925508;0.327990971;0.088597561;1.315700434;15000;120
12;BRUME;GRAMM;380;44.3;2322;1.37;14.53;170.38;50.37604456;5.853543804;50.52685948;5.230963573;0.030925508;0.327990971;0.085279962;1.528292351;15000;120
13;BRUME;COO;380;2;1999;0.06;0.66;7.72;50.37604456;5.853543804;50.39463192;5.872615635;0.03;0.33;0.085492228;1.315700434;15000;120
14;BRUME;COO;380;2;1999;0.06;0.66;7.72;50.37604456;5.853543804;50.39463192;5.872615635;0.03;0.33;0.085492228;1.315700434;15000;120
15;BUGG+;MERCA;380;15.5;1999;0.59;5;58.6;51.01466463;4.200122986;51.18827659;4.260011458;0.038064516;0.322580645;0.085324232;1.315700434;15000;120
16;BUGG+;VERBR;380;21.7;2319;0.66;6.91;83.46;51.01466463;4.200122986;50.94777001;4.416273643;0.030414747;0.31843318;0.082794153;1.526317813;15000;120
17;BUGG+;MERCA;380;15.5;2186;0.48;5.08;58.8;51.01466463;4.200122986;51.18827659;4.260011458;0.030967742;0.327741935;0.086394558;1.438779965;15000;120
18;BUGG+;VERBR;380;21.7;2186;0.67;7.12;83.46;51.01466463;4.200122986;50.94777001;4.416273643;0.030875576;0.328110599;0.085310328;1.438779965;15000;120
19;CHAMP;GRAMM;380;32.2;2186;1;10.56;124.25;50.4963494;4.903765283;50.52685948;5.230963573;0.031055901;0.327950311;0.08498994;1.438779965;15000;120
20;CHAMP;COURC;380;44.1;2186;1.37;14.46;170.24;50.4963494;4.903765283;50.46313915;4.330503288;0.03106576;0.327891156;0.08493891;1.438779965;15000;120
21;COURC;STAM+;380;12.6;1999;0.39;4.13;48.64;50.46313915;4.330503288;50.50684714;4.552520751;0.030952381;0.327777778;0.084909539;1.315700434;15000;120
22;COURC;MEKI+;380;33.4;1999;1.03;10.95;128.2;50.46313915;4.330503288;50.78664135;4.315182989;0.030838323;0.327844311;0.085413417;1.315700434;15000;120
23;COURC;GOUY;380;1.7;1999;0.05;0.56;6.6;50.46313915;4.330503288;50.39520728;4.42757961;0.029411765;0.329411765;0.084848485;1.315700434;15000;120
24;COURC;GOUY;380;1.8;2186;0.06;0.59;7;50.46313915;4.330503288;50.39520728;4.42757961;0.033333333;0.327777778;0.084285714;1.438779965;15000;120
25;DOEL;ZANDV;380;6.8;1999;0.24;2.4;24;51.31145418;4.266519754;51.36009166;4.308919529;0.035294118;0.352941176;0.1;1.315700434;15000;120
26;DOEL;ZANDV;380;7.1;1999;0.07;2.57;22.92;51.31145418;4.266519754;51.36009166;4.308919529;0.009859155;0.361971831;0.112129145;1.315700434;15000;120
27;DOEL;MERCA;380;22.8;1999;0.71;7.48;88;51.31145418;4.266519754;51.18827659;4.260011458;0.031140351;0.328070175;0.085;1.315700434;15000;120
28;DOEL;MERCA;380;22.8;1999;0.71;7.48;88;51.31145418;4.266519754;51.18827659;4.260011458;0.031140351;0.328070175;0.085;1.315700434;15000;120
29;DOEL;MERCA;380;22.2;2186;0.8;6.84;80;51.31145418;4.266519754;51.18827659;4.260011458;0.036036036;0.308108108;0.0855;1.438779965;15000;120
30;DOEL;MERCA;380;22.2;2186;0.8;6.84;80;51.31145418;4.266519754;51.18827659;4.260011458;0.036036036;0.308108108;0.0855;1.438779965;15000;120
31;EEKLN;HORTA;380;13;4560;0.4;4.26;50.27;51.18598897;3.561445364;51.10966736;3.596648917;0.030769231;0.327692308;0.084742391;3.001297639;15000;120
32;EEKLN;MAERL;380;17.3;4689;0.28;4.07;79.6;51.18598897;3.561445364;51.23491551;3.270905442;0.016184971;0.235260116;0.051130653;3.08620277;15000;120
33;GEZEL;MAERL;380;10.1;1635;0.09;2.24;725.81;51.28766677;3.18849034;51.23491551;3.270905442;0.008910891;0.221782178;0.003086207;1.076123167;15000;120
34;GEZEL;MAERL;380;10.1;1635;0.09;2.23;725.81;51.28766677;3.18849034;51.23491551;3.270905442;0.008910891;0.220792079;0.003072429;1.076123167;15000;120
35;GEZEL;MAERL;380;10.1;1635;0.11;2.21;725.81;51.28766677;3.18849034;51.23491551;3.270905442;0.010891089;0.218811881;0.003044874;1.076123167;15000;120
36;GEZEL;MAERL;380;10.1;1635;0.11;2.21;725.81;51.28766677;3.18849034;51.23491551;3.270905442;0.010891089;0.218811881;0.003044874;1.076123167;15000;120
37;GEZEL;STEVN;380;8;4644;0.13;1.9;18.42;51.28766677;3.18849034;51.29674827;3.186637352;0.01625;0.2375;0.103148751;3.056584701;15000;120
38;GEZEL;STEVN;380;8;4644;0.13;1.9;18.42;51.28766677;3.18849034;51.29674827;3.186637352;0.01625;0.2375;0.103148751;3.056584701;15000;120
39;GEZEL;NEMO;380;0.8;1635;0.01;0.07;56.19;51.28766677;3.18849034;51.31676127;3.153013233;0.0125;0.0875;0.001245773;1.076123167;15000;120
40;GRAMM;LIXHE380;380;53.4;2051;3.04;20.03;170.88;50.52685948;5.230963573;50.75777204;5.681475867;0.056928839;0.375093633;0.11721676;1.349925758;15000;120
41;GRAMM;ZUTE+;380;55.6;2000;1.85;17.45;202.7;50.52685948;5.230963573;50.93337043;5.575430421;0.033273381;0.313848921;0.086087815;1.316358614;15000;120
42;GRAMM;TIHA1;380;2.6;2186;0.08;0.85;10.04;50.52685948;5.230963573;50.53028512;5.262613814;0.030769231;0.326923077;0.084661355;1.438779965;15000;120
43;GRAMM;TIHA1;380;3.3;2186;0.1;1.08;12.74;50.52685948;5.230963573;50.53028512;5.262613814;0.03030303;0.327272727;0.08477237;1.438779965;15000;120
44;GRAMM;STAM+;380;56.4;1999;1.75;18.5;217.8;50.52685948;5.230963573;50.50684714;4.552520751;0.031028369;0.328014184;0.084940312;1.315700434;15000;120
45;GRAMM;TIHA1;380;2.9;1999;0.09;0.95;11.19;50.52685948;5.230963573;50.53028512;5.262613814;0.031034483;0.327586207;0.08489723;1.315700434;15000;120
46;GRAMM;TIHA1;380;2.9;1999;0.09;0.95;11.19;50.52685948;5.230963573;50.53028512;5.262613814;0.031034483;0.327586207;0.08489723;1.315700434;15000;120
47;GRAMM;RIMIE380;380;14.6;1999;0.45;4.79;54;50.52685948;5.230963573;50.54218869;5.470128417;0.030821918;0.328082192;0.088703704;1.315700434;15000;120
48;HORTA;MAERL;380;29;4689;0.43;7.94;115.83;51.10966736;3.596648917;51.23491551;3.270905442;0.014827586;0.273793103;0.068548735;3.08620277;15000;120
49;HORTA;MERCA;380;48.4;3400;1.58;15.19;176.33;51.10966736;3.596648917;51.18827659;4.260011458;0.032644628;0.313842975;0.086145296;2.237809643;15000;120
50;HORTA;RODE+;380;14.2;2186;0.44;4.64;54.71;51.10966736;3.596648917;51.14819981;3.797816395;0.030985915;0.326760563;0.084810821;1.438779965;15000;120
51;LINT;MERCA;380;21.1;2186;0.65;6.92;73.8;51.1273866;4.495942505;51.18827659;4.260011458;0.030805687;0.327962085;0.093766938;1.438779965;15000;120
52;LINT;MASSE;380;14.1;2188;0.46;4.56;50.17;51.1273866;4.495942505;51.19953975;4.640115321;0.032624113;0.323404255;0.090890971;1.440096323;15000;120
53;LINT;MERCA;380;21.1;2186;0.65;6.92;73.8;51.1273866;4.495942505;51.18827659;4.260011458;0.030805687;0.327962085;0.093766938;1.438779965;15000;120
54;LIXHE380;VANYK;380;53;1999;2.07;16.53;192.96;50.75777204;5.681475867;51.121523;5.773195;0.039056604;0.311886792;0.085665423;1.315700434;15000;120
55;MASSE;MEERH;380;32.5;2186;1.01;10.66;125.4;51.19953975;4.640115321;51.13244635;5.077915808;0.031076923;0.328;0.085007974;1.438779965;15000;120
56;MASSE;MERCA;380;35;2186;1.09;11.54;123.2;51.19953975;4.640115321;51.18827659;4.260011458;0.031142857;0.329714286;0.093668831;1.438779965;15000;120
57;MEERH;VANYK;380;57.5;2186;1.78;18.86;220.86;51.13244635;5.077915808;51.121523;5.773195;0.030956522;0.328;0.085393462;1.438779965;15000;120
58;MERCA;RODE+;380;34.2;1999;1.07;11.21;132.2;51.18827659;4.260011458;51.14819981;3.797816395;0.03128655;0.327777778;0.084795764;1.315700434;15000;120
59;VANYK;ZUTE+;380;31.1;1999;0.72;9.55;114.35;51.121523;5.773195;50.93337043;5.575430421;0.023151125;0.307073955;0.083515523;1.315700434;15000;120
60;AUBAN220;VILLE;220;47.2;1063;4.01;14.16;154.16;49.56383767;5.799275871;49.9790576;5.658044952;0.084957627;0.3;0.091852621;0.405057402;15000;120
61;AWIRS;SERAI;220;6.6;1092;0.33;2.64;18.65;50.60045463;5.408942013;50.60930462;5.512460119;0.05;0.4;0.14155496;0.416107886;15000;120
62;AWIRS;RIMIE220;220;7.4;976;0.47;3.13;20.06;50.60045463;5.408942013;50.54218869;5.470128417;0.063513514;0.422972973;0.156031904;0.371905949;15000;120
63;JUPIL;RIMIE220;220;20.2;1092;0.61;4.52;57.64;50.64586404;5.637025767;50.54218869;5.470128417;0.03019802;0.223762376;0.078417765;0.416107886;15000;120
64;SERAI;RIMIE220;220;13.4;976;0.77;5.29;37.4;50.60930462;5.512460119;50.54218869;5.470128417;0.057462687;0.394776119;0.14144385;0.371905949;15000;120
65;MARC+;RIMIE220;220;38;1063;3.23;11.3;124.11;50.24180069;5.73187824;50.54218869;5.470128417;0.085;0.297368421;0.091048264;0.405057402;15000;120
66;MARC+;SENO+;220;26.8;1063;2.28;8.04;87.52;50.24180069;5.73187824;50.00153085;5.662786449;0.085074627;0.3;0.091864717;0.405057402;15000;120
67;RIMIE220;SERAI;220;11.4;1037;0.66;4.63;31.8;50.54218869;5.470128417;50.60930462;5.512460119;0.057894737;0.406140351;0.145597484;0.395150071;15000;120
68;ROMSE;SERAI;220;14.3;1037;0.83;5.81;40.2;50.61283863;5.67178282;50.60930462;5.512460119;0.058041958;0.406293706;0.144527363;0.395150071;15000;120
69;SENO+;VILLE;220;2.6;1063;0.63;2.15;8.49;50.00153085;5.662786449;49.9790576;5.658044952;0.242307692;0.826923077;0.253239105;0.405057402;15000;120
70;ROMSE;JUPIL;220;10;1000;0.6;4;0;50.61283863;5.67178282;50.64586404;5.637025767;0.06;0.06;0;0.381051178;15000;120
71;JUPIL;BERN;220;30;1000;1.8;12;0;50.64586404;5.637025767;50.74324301;5.731314208;0.06;0.06;0;0.381051178;15000;120
72;JUPIL;BERN;220;30;1000;1.8;12;0;50.64586404;5.637025767;50.74324301;5.731314208;0.06;0.06;0;0.381051178;15000;120
73;BERN;LIXHE220;220;10;1000;0.6;4;0;50.74324301;5.731314208;50.75777204;5.681475867;0.06;0.06;0;0.381051178;15000;120
74;AUBAN380;AUBAN220;380/230;-;-;0;82.13333333;0;-;-;-;-;-;-;-;0.3;2000;60
75;AUBAN380;AUBAN220;380/230;-;-;0;80.53333333;0;-;-;-;-;-;-;-;0.3;2000;60
76;LIXHE380;LIXHE220;380/230;-;-;0;77.86666667;0;-;-;-;-;-;-;-;0.3;2000;60
77;LIXHE380;LIXHE220;380/230;-;-;0;77.86666667;0;-;-;-;-;-;-;-;0.3;2000;60
78;RIMIE380;RIMIE220;380/230;-;-;0;77.86666667;0;-;-;-;-;-;-;-;0.3;2000;60
79;RIMIE380;RIMIE220;380/230;-;-;0;77.86666667;0;-;-;-;-;-;-;-;0.3;2000;60
80;RIMIE380;RIMIE220;380/230;-;-;0;77.86666667;0;-;-;-;-;-;-;-;0.3;2000;60
